ID,text,label,pred_llm
320563,Super sleepy but I still have to read for International Eco and search for a good thesis base article,negative,negative
1119080,relay . be here .,positive,negative
1033083,JonathanMaberry : Working on vampire story 4 anthology . CJZ : As long a it doe n't interfere w/ PATIENT ZERO sequel,positive,positive
1503640,think that Lady Gaga is THE BEST !,positive,positive
304669,luck wa not on my side tonight hopefully next week will be better ! vega baby !,negative,negative
448720,UGH ! I HATE DATA QA ! ! ! ! ! I 'm not good enough in SQL to know how to do this stuff . Trudging along w/ what I DO know,negative,negative
1059966,thanks for the support,positive,positive
1147939,Today I told my husband to cry me a river and he said & quot ; I 'm trying ! & quot ;,positive,positive
1159935,I swear to god I am going to steal the car whose alarm go off every damn night on my street and drive it into the ocean ! !,positive,negative
300468,I hope you wo n't take it down so fast,negative,positive
778712,This tour ha been AMAZING ! ! ! Still ca n't believe there 's no DVD coming When are the other summer date being released ? !,negative,positive
308120,Goodnight Tweetertopia . I hope that my migranes stay at bay for tonight . I ca n't do that SHIT again .,negative,negative
618382,Totaly slipped my head - but probably not - just paid $ 65o to our dentist,negative,negative
1082450,Enjoying appetizer and a drink with my boo at Salt Bar in the LES,positive,positive
178837,stopped at the store to pick up some item and debit card is missing,negative,negative
870547,"getting my tongue pierced today . I miss Taylor , so so much . [ [ I wan na know that girl behind that pretty stare ] ]",positive,negative
1280845,I slept right through that . I had the margarita of life and passed out . Ha . But AR ha always been one of my fave thick snack,positive,positive
1449265,"You 're a gentlemawn , a my Belfast grandmother used to say",positive,positive
902878,I just got home . i bought twiggies and a toothbrush that promise to make my teeth 60 % cleaner . -,positive,positive
1454612,"Nah , you 'll do well loved it last time you were on",positive,positive
1100785,"Hi , How are you ?",positive,positive
685986,It wa nice to finally meet you guy ! I did n't see you ...,negative,positive
526362,getting ready for the beach next week ! ! If only it really were Wednesday like I thought it wa !,negative,positive
875572,thank you SOO much for featuring Invisible Children on your show on Friday ! ! We are so grateful !,positive,positive
401558,Saw only 1 nice house on my trip yesterday and someone made an offer on it today .,negative,negative
647341,My 1 follower turned out to appear to be an automated sale pitch link,negative,negative
1361983,Finally finished with the car wash. Off to get mmy hair done ?,positive,positive
858492,My brother is playing MarioBros * -- - * I love the game ! !,positive,positive
1593307,only because you want one ?,positive,negative
580318,My throat feel a bit itchy ... I 'm always scared of getting sick,negative,negative
243058,I pulled a thigh muscle somehow and now I 'm off to work .... and missing Britt 's somewhat graduation party .,negative,negative
1078266,I 'm still having a twpp hang over . Last night wa rough,positive,negative
935283,We 're fine .,positive,positive
1475305,got sims 3 .. about to play,positive,positive
484140,"Got to find a new hair place , mine wa shut down .",negative,negative
904709,"haha Hey , Well if you were in the elevator you should have said more !",positive,positive
533753,Is having car problem ... What could be worse than the transmission .,negative,negative
93895,What 's worse ? Watching Daisy of Love or I Love Money ? I 'm guilty of both,negative,negative
984492,"Breakfast King ! Grits , bacon , and toast with some coffee to wash it down . Only an hour to kill before a nice drive to the airport",positive,positive
281646,+60 . What ha been seen can not be unseen,negative,negative
398424,studying for math final,negative,negative
1222581,Why are you following me ?,positive,negative
357118,Going to my si ' graduation but missing out on the Davis trip ! Do n't eat too much without me,negative,negative
733706,It is not pressure but sense of responsibility make me cry I care about ur feeling rather than mine.And this time what I can say ...,negative,negative
1574237,"Melbourne - Toyota - Hiace - 1981 - $ 5,000 - new ad received and will be posted on the HCC site soon",positive,positive
263363,haha oh so true ! And the lovely smell of maccas in my car 4 the next few week Will make me hungary with every car trip lol,negative,positive
998255,So far so good It 's going to rain here today but we really need it .,positive,positive
1503531,"Youth group wa amazing ! ! ! UGH TONY VAUGHN . But anyways , now time to go to sleep",positive,positive
500412,I might have a problem ... the rod in my closet that hold all my clothes just broke .,negative,negative
293640,Why did you have a craptacular day ?,negative,negative
472047,"Has now applied for no less than 6 job in less than a week , and STILL NO INTERVIEW .",negative,negative
363820,yeah I know ! He wa nervous ! Poor baby get well soon,negative,positive
387261,Omg I dropped cherry berry ! Grrrrr ! but she 's ok no scratch ! Hahaha,negative,positive
1552169,My mom just said 'Your hair is Massive ' As in the slang word .. awwh she try so hard to be cool,positive,positive
565277,Finally have a day off of work and planning to sleep all day . Except working is calling again .. Going in at 2pm,negative,negative
154470,Guess I 'll do a tweet today ; I set up a Google Analytics account to track visit to the site . That 's all I got done today .,negative,positive
1577786,too much thinking is bad for the brain . it may lose your sanity . boom . i am so stress . T_T,positive,negative
68711,My mac wo n't start up .,negative,negative
23448,Good morning . Sorry I never wrote you back . Facebook ha been blocked at my work . But I can still get on here . hehe,negative,positive
15793,we 've decided that home improvement are best left to the professional,negative,positive
828324,"share it with u , we 'll help you decide",positive,positive
1353692,It is raining and I wa supposed to be doing surveying with my dad today ... do n't think it 's going to happen . Watching video instead .,positive,negative
39027,poo morning . just found out my mate buying a house . i cant even get a job . some people dont realise how lucky they are,negative,negative
247586,"Oh god , got peeling arm , chest and face - it the Geordie sun that did it ! ! !",negative,negative
1065858,"LOL ! if i had a fifth of anything at the office , thing would get very interesting around here",positive,positive
518347,So who here can tell me what 's new in their life or what 's going on to distract myself from stuff,negative,positive
450823,I would if I had some where to live and a job there,negative,negative
1527850,"Oh , I 'll be there . It 's kata week .",positive,positive
1473358,"I tld him 'thrs no need 2 call up 4 each offer . I dnt like it ' , he said 'its my job ' , me 'watever ' and till nw he didnt call",positive,negative
1107974,Back at Michaelas now . Im buggered after ice fight with Naffanz at maccas ahahaa,positive,positive
551307,"oh no ! I wa n't there for very long , from like 10:45-11:30 then left for a while and came back around 1 .",negative,negative
1167493,No one care about your birthday only mine because it on a Wednesday .,positive,negative
134421,Not feeling so hot pretty congested and have a little cough . Prayers would be appriaited cuz i ca n't afford to get sick again .,negative,negative
645724,It 's raining ... Hopefully final wo n't take forever today,negative,negative
1404207,the beginning of my LONG day begin now . 8:30am-5pm work . looking fwd to going to gigi 's 4th birthday party afterwards yay !,positive,positive
1551733,i 'd be watching it if it wa still on and the most evil subject in all the land . textile .,positive,negative
345536,is really upset the way thing are unfolding ...,negative,negative
102446,this weather is making me seriously miserable ... I feel like I 'm coming down with something too waaaa,negative,negative
862477,Yes ! He wa named after Meeko from Pocahontas because he looked like a little raccoon cub when he wa a baby .,positive,positive
773388,"Is not even funny ... Everyone is in NYC and I 'm , well , here . Oh I miss The City best memory ever ...",negative,negative
742754,nope tommy wa being gay etc so they would n't let u ! ! but i suppose the gig made up for it ( LLLL ) did you enjoy it ? ! x,negative,positive
1032871,"old school , new school ... Does n't matter a long a your true school .",positive,positive
989011,I 'm happy for you !,positive,positive
930588,feeling much better now,positive,positive
1032356,happy birthday to my daddy !,positive,positive
1366830,well hurry up ! ! Lol doe that mean I should come out to sn ? ?,positive,positive
1052166,with or without you,positive,negative
302676,"you 're welcome and yes , it is . I 'm hungry and it 's too late to eat anything",negative,negative
515331,why wa it so bad hope edenites leave u alone . speak to u later x x,negative,negative
621444,"Gahhh ! ! ! ! ! I just got out of the shower , and i have to go do something for my mamma now . FML ! ! ! ! When do you leave again ? !",negative,negative
