ID,text,label
204853,My dad ha n't called me yet ! !,negative
1510765,Like what you are doing with your site Keep it up,positive
2142359,thought we had a great retail space in apex picked out but there s a lease pending back to searching for a location,negative
134631,using rail and firebird is so cool too bad rake db create doe not work though,negative
367778,The DOTT is dead remember ? It 's the quot DLPW quot now,negative
957405,Passing exam doe n't really matter in the scheme of thing doe it ?,positive
252844,i just had some too but unfortunately i did not get magically transported back to the ninety a i had hoped,negative
2476239,got a sunburn from coney island bike ride,positive
2524661,yeah meet you there i ll give you a ticket,positive
1628379,my weekend is going well thanks for asking hate that it s almost over,negative
579833,My car wo n't start ! ! ! !,negative
294297,at home with a sick kid starting to feel sick myself dammit ! ! ! cleaning for three hour straight may not have helped,negative
1397386,is going to put her jim jam on and watch film all dayy PLAN !,positive
196519,is sharing her bed with her little boy who ha an ear ache not fun having a bub in pain,negative
1400688,We are lazy bum Slept in past 10,positive
2047594,is excited about norway but is not looking forward to saying goodbye to the three most awesome people ever,negative
1637397,i bet they say that to all the user,negative
2570866,no fb restricts the number of update not to mention that s not an update on you so they don t put reply on fb,positive
325162,Noo Ravelry is down,negative
3066955,playing wiffle ball,positive
2344782,having a great time out in oklahoma but missing everyone back home,negative
1278722,What 's next week 's topic ? I learned a lot from earlier 's show,positive
2196516,bored nd got nothing to do,negative
204405,Watched FA cup managed to miss both goal gettin drink Ah well Lions won so hope Wales can give Canada a good thrashing,negative
1329096,love his new Twitter BR Image,positive
502463,Is really really sad !,negative
2302717,hmm petted and felt his bone entirely too much all over his body eating habit still not good hmm,negative
506531,a i sowwie and it hurt from texting so much with my full keyboard,negative
2201366,currently working from home with a busted ankle,negative
2331181,twug i needed a twug too i wa supposed to come to the show tonight but my aunt is having her baby so i can t,negative
2040172,bummed the weekend is coming to an end,negative
3055494,it s all good in the hood i still got love for ya and you re still my favorite sexy pirate partner in crime,positive
1227170,thanks for follow know what ya mean twitter seems to get very addictive when ya need to sleep it get better when your tired,positive
429204,No kiddy at home ! tonight !,negative
1511313,quot Anvil quot wa just awesome and heart warming and it involved heavy metal,positive
1987915,i tried real hard and couldn t find anyone to go with,negative
238488,Regarding my last tweet I do n't think human race will civilize itself,negative
1218022,This guy quot husile quot at Neowin cracked me up It look a if he 's pissed at me not releasing BlueSE soon enough,positive
2303995,phone is currently not working i havnt had a chance to pay the bill yet i have been a busy bumblebee,negative
879101,Did you go and see Wolverine ? I figured you did and that 's what triggered the tweet,positive
2859431,in the igloo doing some flash dev making a tabbed ui today,positive
1536530,hangin out with my fave aunt and uncle and my fave cuz and my bros and si and of course mom and pop oh and let not forget the cat,positive
2421409,yay for loss of teen have a great night,positive
2694524,liger is my older brother,positive
823559,i want a cellphone,positive
495322,bachelorette time but just not liking this season after all the stuff being said seems fake,negative
608164,The wait for this She Wolf is killing me,negative
1655678,nope we miss out it ok though,negative
2247471,you have broken my heart i can t believe you joked around about cheese that s uncalled for,negative
2274745,bored in home someone funny,negative
317727,suffering with hayfever today,negative
1986004,um what is she hideing lol i do not know what to tell you about it all id come play britney at you are party,negative
75264,that 's just wrong on so many level,negative
333564,No Internet at the new apartment until next week just iPhone,negative
1649181,you didn t invite me how dare you hanna haha,negative
1636525,doing good have about hr of work to do before bed it am,negative
29393,Off to bed back to work tomorrow,negative
1476645,watched it !,positive
1289325,i will be finished in a few week time so yes working like a demon at college at the moment,positive
1888440,not funny it made me mad,negative
1755097,thinking of animated profile pic don t pic that move while trying to read rocking back and forth up and down distracting amp urp,negative
1427781,want a bunny rabbit,positive
1256609,Wow what an amazing night of MSN thanks to all those who spoke to me it wa great finding out more about you,positive
2244471,yes sct is up but listening to guest speaker paul dellechiaie designer of the ethos eyepiece he didn t bring free sample,negative
2402486,but i will make it up to you with paddle sanding and a hike sometime this week if you like prev am,positive
2680026,leaving german beer garden headed to home base manhattan,positive
559498,i forgive you sleep is an important thing and my lack of it is making me ill the thought of bmth just make me worse O,negative
2833150,yeahh i recognised the photo i wa there too,positive
