ID,text,label
204853,My dad hasn't called me yet!!,negative
1510765,@thecurelist Like what you are doing with your site. Keep it up,positive
1282746,@A_MixFit yea @JBeauty is adorable,positive
2142359,thought we had a great retail space in apex picked out but there s a lease pending back to searching for a location,negative
134631,"using #rails and #firebird is so cool, too bad rake db:create does not work though",negative
2303735,i m so sorry des my thoughts are with you,negative
367778,"@AdellesLover The DOTT is dead, remember? It's the &quot;DLPW&quot; now.",negative
3087449,lol goober,positive
980134,@miksdoroja Hey then have a great afternoon!,positive
957405,"Passing exams doesn't really matter in the scheme of things, does it?",positive
832212,@marmalade_duke and all of Deadpools cool swag  and blame all of it on Taskmaster,positive
252844,@TillyRossetti  i just had some too- but unfortunately i didnt get magically transported back to the nineties as i had hoped..,negative
2476239,got a sunburn from coney island bike ride,positive
2524661,yeah meet us there i ll give you a ticket,positive
1628379,my weekend is going well thanks for asking hate that it s almost over,negative
579833,My car won't start!!!!,negative
294297,"at home with a sick kid, starting to feel sick myself. dammit!!! cleaning for three hours straight may not have helped.",negative
1397386,is going to put her jim jams on and watch films all dayy  PLAN!,positive
196519,"is sharing her bed with her little boy who has an ear ache, not fun having a bub in pain",negative
1400688,We are lazy bums... Slept in past 10,positive
2047594,is excited about norway but is not looking forward to saying goodbye to the three most awesome people ever,negative
232815,oooh you all are so pretty!! and im hungry grr!!! its sunday  back to school 2morow but atleast i just got 1 &amp; half year left of school ya,negative
1637397,i bet they say that to all the users,negative
2570866,no fb restricts the number of updates not to mention that s not an update on you so they don t put replies on fb,positive
325162,Nooo.. Ravelry is down.  http://bit.ly/11tmKL,negative
3066955,playing wiffle ball,positive
2561481,ff followfriday,positive
2344782,having a great time out in oklahoma but missing everyone back home,negative
1278722,@BackStory What's next week's topics? I learned a lot from earlier's show...,positive
2196516,bored nd got nothing to do,negative
204405,"Watched FA cup, managed to miss both goals  gettin drinks. Ah well. Lions won, so hope Wales can give Canada a good thrashing",negative
1329096,loves his new Twitter-BR-Image,positive
502463,Is really really sad!,negative
1996871,ugh italian martini recipe in my g mail and all computers crashed,negative
257003,@ddtdc No there isn't. I don't advocate censorship. Only proper etiquette and common sense. But common sense ain't common.,negative
863509,"@PinkBerryGirl Wow, Well that's good",positive
2302717,hmm petted and felt his bones entirely too much all over his body eating habits still not good hmm,negative
506531,@kalena1995 awwww  i sowwie. and it hurts from texting so much with my full keyboard.,negative
2201366,currently working from home with a busted ankle,negative
2331181,twug i needed a twug too i was supposed to come to the show tonight but my aunt is having her baby so i can t,negative
2040172,bummed the weekend is coming to an end,negative
2146875,i really wanna go botanics with spp this saturday damn floorball selections,negative
492283,i look and feel like a nerd in my broken rayban sunglasses... buhu  http://twitgoo.com/tif7,negative
3055494,it s all good in the hood i still got love for ya and you re still my favorite sexy pirate partner in crime,positive
1227170,"@danitatex thanks for follow, know what ya mean twitter seems to get very addictive when ya need to sleep, it gets better when your tired",positive
185821,@therealWilJ Every team that I root for always lose. Haha. Celtics and Nuggets.   Just watching NBA replays on the net.,negative
429204,No kiddies at home! tonight!,negative
1511313,&quot;Anvil&quot; was just awesome and heart warming and it involved heavy metal,positive
1987915,i tried real hard and couldn t find anyone to go with,negative
238488,Regarding my last tweet - I don't think human race will civilize itself,negative
3123404,wilde a brilliant th century writer poet harper s bazaar my fav magazine,positive
950659,"@heidimontag I'm obsessed with Look How I'm Doing, Blackout and Turn Ya Head!!",positive
1218022,This guy &quot;husile&quot; at Neowin cracked me up:  http://tr.im/n1nr - It looks as if he's pissed at me not releasing BlueSE soon enough,positive
324839,Aww Justin Left Without Hannah  Can't Believe Hes Left  &amp; Russ :O Runn Away With Baby Max Aww I'll Miss Thm 2,negative
2303995,phone is currently not working i havnt had a chance to pay the bill yet ive been a busy bumblebeeeeee,negative
1890497,i wonder when and will have a real wedding on another note goodbye lc kristen sucks def boycotting the hills,negative
879101,@ShawnNelson Did you go and see Wolverine? I figured you did and that's what triggered the tweet.,positive
2859431,in the igloo doing some flash dev making a tabbed ui today,positive
1536530,hangin out with my fave aunt and uncle and my fave cuz and my bros and sis and of course mom and pop oh and lets not forget the cats,positive
2421409,yay for loss of teens have a great night,positive
1262613,Watching the freddie mercury special.,positive
2694524,liger is my older brother,positive
823559,i want a cellllllphone ..,positive
1479501,Watching Supernatural,positive
97688,@Modelmad grim and overcast here Phil and rain to come,negative
495322,"bachelorette time, but just not liking this season after all the stuff being said, seems fake",negative
608164,The wait for this She Wolf is killing me....,negative
1655678,nope we miss out its ok tho,negative
723555,Ugh like worst night ever,negative
2247471,you have broken my heart i can t believe you joked around about cheese that s uncalled for,negative
2274745,bored in home someone funny,negative
317727,suffering with hayfever today,negative
1986004,um what is she hideing lol i dont know what to tell you about it all id come play britney at ur party,negative
75264,@calvinharris that's just wrong on so many levels.,negative
333564,No Internet at the new apartment until next week...  just iPhone.,negative
1648630,celebs never tweet me some kids get alll the luck,negative
1649181,you didn t invite me how dare you hanna haha,negative
1881354,ok hold on i didnt get a pop up on crackberry i cant access twitter on it either,negative
1636525,doing good have about hr of work to do before bed its am,negative
742586,"GREAT, now Mary J. is singing my life...&quot;No More Drama&quot; ugh. Throwback theme song from middle school!",negative
29393,"Off to bed...back to work tomorrow,",negative
459797,feels let down... not a new feeling im sad to admit,negative
1476645,@ladymaryann watched it!,positive
1289325,@alansuspect i'll be finished in a few weeks time. so yes working like a demon at college at the moment.,positive
1900599,no catchup class tonight peeps,negative
1491041,"Photo: My best friend, (We have Dougie Poynterâs plectrums in our mouths) I love her  http://tumblr.com/xko1z7hlj",positive
1888440,not funny it made me mad,negative
117176,@msdanynic  &amp; you dont love meeeee???  *bernie voice* get yo' sht! get yo sht &amp; gettttttt out! lol,negative
1755097,thinking of animated profile pics don t pics that move while trying to read rocking back and forth up and down distracting amp urp,negative
1284086,Hey @bkronlein don't forget about family matttass  niteEe xo,positive
2816107,can t wait to take my last final on thursday i love convincing my instructors to let me take the finals early,positive
2641184,oh what a gorgeous morning,positive
1427781,wants a bunny rabbit,positive
1256609,Wow what an amazing night of MSN - thanks to all those who spoke to me - it was great finding out more about you,positive
482650,"no takers on the 7 for all mankind query?  well, i first dabbled w/the swarovski crystals on the butt (how else to describe?) jeans! HAH.",negative
1583267,@midnight_plue lol... go get yourself some pretty clothes,positive
2244471,yes sct is up but listening to guest speaker paul dellechiaie designer of the ethos eyepiece he didn t bring free samples,negative
2402486,but i will make it up to you with paddle sanding and a hike sometime this week if you like prev am,positive
2680026,leaving german beer garden headed to home base manhattan,positive
559498,@MiaLee30 i forgive you sleep is an important thing and my lack of it is making me ill  the thought of bmth just makes me worse :O,negative
1248730,Driving to visit my mom at work. Hope i dont get lost! Lol,positive
2833150,yeahh i recognised the photo i was there too,positive
1566183,@apparently_so @theirishheather !,positive
441136,@levdawg @ninalasvegas @badezzy @sprucewhee @davenada MISS YOU BABES !!! Wish i waz there,negative
2364798,my heart broke into pieces,negative
511577,twitter fam i just woke up im wide awake cant go back to sleep,negative
188406,@giraffe_legs Naw. But its my fault cuz I haven't applied anywhere yet. I have no drive.  I'ma apply at the former Tweeter Center though.,negative
2868242,anything that evanescence sings is per definition gay in my book which is good and that cover is pretty awesome,positive
1885141,ha i just don t think it will be as good as the tech demo also this has to be a pedophiles wet dream,negative
2386533,show d bola,positive
3104100,see how facebook has a concept sliding from social networking to a semi microblogging site because of its ing,positive
2151248,why can t i update it says i m current,negative
2269234,listening to the metal hammer podcast s download review ahhhh i want to go back,negative
1297958,"Just finiiish school, and wanted to tell you that Bethany has a fanny in her name, Bef-fanny, see?  http://tinyurl.com/llyyma",positive
643947,"@shanedawson awe shane I just watched your fathers day video! I know Exactly how you feel, my dad passed away when I was 9",negative
2637475,love whole foods wallet does not,positive
